"abbreviated_form","long_form"
"Thirteenth","13"
"Hgld","Highlands"
"Hgwy","Highway"
"6","six"
"Cercle","Circle"
"Fifteenth","15"
"Isl","Island"
"Pw","Parkway"
"Plc","Place"
"90","ninety"
"St","Saint"
"St","Street"
"C","Central"
"Fourth","4"
"Airpt","Airport"
"Nineteenth","19"
"Rvr","River"
"Aut","Autoroute"
"Septieme","7"
"Apt","Apartment"
"Gln","Glen"
"PH","Penthouse"
"ok","oak"
"Third","3"
"Dixieme","10"
"16","sixteen"
"IR","Indian Reservation"
"Thirtieth","30"
"Unp","Underpass"
"Carrefour","Crossing"
"App","Appartement"
"NE","Northeast"
"Av","Avenue"
"Gdn","Garden"
"Fw","Freeway"
"Brg","Bridge"
"Tenth","10"
"Premiere","1"
"Quatorzieme","14"
"Ck","Creek"
"X","Cross"
"Divers","Diversion"
"Div","Diversion"
"Villge","Village"
"Quai","Quay"
"Snd","Sound"
"Tr","Trail"
"Pz","Plaza"
"Twelfth","12"
"Crl","Circle"
"Twentieth","20"
"Unite","Unit"
"40","forty"
"Circ","Circle"
"Crt","Court"
"Wrf","Wharf"
"Crois","Croissant"
"Terasse","Terrace"
"Lks","Lakes"
"Pwy","Parkway"
"British Columbia","BC"
"Hghlds","Highlands"
"Cl","Close"
"Strt","Street"
"Pvt","Private"
"Chwk","Chilliwack"
"Prt","Port"
"Gr","Grove"
"Seizieme","16"
"wa","way"
"Drv","Drive"
"Bsmnt","Basement"
"Thruway","Throughway"
"Exts","Extension"
"Eighth","8"
"Fifth","5"
"SO","Southwest"
"Tline","Townline"
"Ext","Extended"
"Ext","Extension"
"Subdiv","Subdivision"
"Neuvieme","9"
"19","nineteen"
"W","West"
"Appartement","Apartment"
"Lby","Lobby"
"Airp","Airport"
"Conc","Concession"
"Brk","Brook"
"Hy","Highway"
"Carre","Square"
"Harbr","Harbour"
"13","thirteen"
"Trnabt","Tournabout"
"Treizieme","13"
"Govt","Government"
"Quatrieme","4"
"Sixieme","6"
"Circt","Circuit"
"Sentier","Trail"
"Viadct","Viaduct"
"Sent","Sentier"
"Hway","Highway"
"Hts","Heights"
"Cours","Path"
"Lp","Loop"
"Rang","Row"
"Vlg","Village"
"Rte","Route"
"Cpt","Captain"
"Sq","Square"
"60","sixty"
"Conn","Connector"
"Pr","Prince"
"Thwy","Throughway"
"Subdvsn","Subdivision"
"Dr","Drive"
"Pkwy","Parkway"
"Psg","Passage"
"Rm","Room"
"Cemtry","Cemetery"
"7","seven"
"Hwy","Highway"
"Mezz","Mezzanine"
"Douzieme","12"
"Gt","Gate"
"17","seventeen"
"Capt","Captain"
"Eleventh","11"
"Allee","Drive"
"Ovps","Overpass"
"Tl","Trail"
"O","Ouest"
"Autoroute","Highway"
"Hd","Head"
"Ptway","Pathway"
