"canonical_form"
"SITE"
"REAR"
"LWR"
"PH"
"APT"
"PAD"
"UNIT"
"SUITE"
"BSMT"
"MEZZ"
"RM"
"SIDE"
"HOUSE"
"BERTH"
"UPPR"
"LOBBY"
"TH"
"FLR"
"BLDG"
"CONDO"
