abbreviated_form,long_form
Rm,Room
2,two
3,three
4,four
5,five
6,six
7,seven
8,eight
9,nine
10,ten
11,eleven
12,twelve
13,thirteen
14,fourteen
15,fifteen
16,sixteen
17,seventeen
18,eighteen
19,nineteen
20,twenty
30,thirty
40,forty
50,fifty
60,sixty
70,seventy
80,eighty
90,ninety
100,hundred
Ests,Estates
Wht,White
Wrf,Wharf
Front,Frontage
Riv,River
Lks,Lakes
Ck,Creek
Lk,Lake
Isl,Island
Airpt,Airport
Rt,Route
Frntg,Frontage
Capt,Captain
Isld,Island
Vlg,Village
Subdvsn,Subdivision
Appartement,Apartment
Apt,Apartment
Psg,Passage
Frt,Frontage
Acc,Access
Vly,Valley
Cemtry,Cemetery
Al,Alley
Allee,Drive
Aly,Alley
App,Appartement
Aut,Autoroute
Autoroute,Highway
Av,Avenue
Ave,Avenue
Bd,Boulevard
Bkwr,Breakwater
Bl,Boulevard
Bldg,Building
Blv,Boulevard
Blvd,Boulevard
Boul,Boulevard
British Columbia,BC
Brk,Brook
Bsmt,Basement
Bsmnt,Basement
Bur,Bureau
Bureau,Suite
Byp,Bypass
Campgrnd,Campground
Car,Carre
Carref,Carrefour
Carrefour,Crossing
Carre,Square
Causeway,Cswy
CB,BC
C,Central
Cds,Cul-de-sac
Cercle,Circle
Ch,Chemin
Chemin,Road
Ci,Circle
Cinquieme,5
Circ,Circle
Cir,Circle
Cls,Close
Conn,Connector
Cour,Court
Cours,Path
Crcl,Circle
Cres,Crescent
Crk,Creek
Crl,Circle
Crois,Croissant
Croissant,Crescent
Crossing,Xing
Crt,Court
Ct,Court
Ctr,Centre
Cv,Cove
Deuxieme,2
Divers,Diversion
Dixieme,10
Douzieme,12
Dr,Drive
Drv,Drive
Dvrs,Diversion
E,East
Eighteenth,18
Eighth,8
Eleventh,11
Est,East
Etage,Floor
Ext,Extended
Ext,Extension
Extn,Extension
Exts,Extension
Fifteenth,15
Fifth,5
First,1
Flr,Floor
Fl,Floor
Fourteenth,14
Fourth,4
Frtg,Frontage
Frw,Freeway
Frwy,Freeway
Fw,Freeway
Fwy,Freeway
Gdn,Garden
Gdns,Gardens
Glcr,Glacier
Gln,Glen
Govt,Government
Gt,Gate
Hd,Head
Hghts,Heights
Hghwy,Highway
Hgwy,Highway
Hiway,Highway
Ht,Height
Hts,Heights
Huitieme,8
Hway,Highway
Hw,Highway
Hwy,Highway
Hy,Highway
Ile,Island
IR,Indian Reservation
Jct,Junction
La,Lane
Lby,Lobby
Lbby,Lobby
Ldg,Landing
Lkout,Lookout
Lne,Lane
Ln,Lane
Lp,Loop
Lwr,Lower
Montee,Rise
Mt,Mount
Mtn,Mountain
Mtns,Mountains
NE,Northeast
Neuvieme,9
Espl,Esplanade
Cr,Crescent
Nineteenth,19
Ninth,9
N,North
NO,Northwest
Nord,North
Nrs,Narrows
NW,Northwest
Onzieme,11
O,Ouest
Ouest,West
Overps,Overpass
Ovps,Overpass
Ovrps,Overpass
Parc,Park
PH,Penthouse
Pk,Park
Pkw,Parkway
Pkwy,Parkway
Pky,Parkway
Pla,Place
Plat,Plateau
Plc,Place
Pl,Place
Plz,Plaza
Pnt,Point
Pointe,Point
Prom,Promenade
Pr,Prince
Pt,Point
Pw,Parkway
Pwy,Parkway
Py,Parkway
Pz,Plaza
Quai,Quay
Quatorzieme,14
Quatrieme,4
Quinzieme,15
Rang,Row
Rd,Road
Rf,Reef
Rk,Rock
Rks,Rocks
Rte,Route
Ruelle,Alley
Second,2
Seizieme,16
Sentier,Trail
Sent,Sentier
Septieme,7
SE,Southeast
Seventeenth,17
Seventh,7
Sixieme,6
Sixteenth,16
Sixth,6
Sl,Slough
Snd,Sound
SO,Southwest
Sqre,Square
Sqr,Square
Sq,Square
Squ,Square
S,South
Stn,Station
Strt,Street
St,Saint
St,Street
Subdiv,Subdivision
Sud,South
SW,Southwest
Tce,Terrace
Tenth,10
Terasse,Terrace
Terr,Terrace
Ter,Terrace
Te,Terrace
TH,Townhouse
Third,3
Thirteenth,13
Thirtieth,30
Thruway,Throughway
Thwy,Throughway
Tl,Trail
Treizieme,13
Trentieme,30
Trl,Trail
Troisieme,3
Tr,Trail
Tsse,Terasse
Trnabt,Tournabout
Twelfth,12
Twentieth,20
Twnh,Townhouse
Unite,Unit
Unp,Underpass
Uppr,Upper
Upr,Upper
Vdct,Viaduct
Viadct,Viaduct
Via,Viaduct
Vingtieme,20
Voie,Path
Wk,Walk
W,West
Wy,Way
X,Cross
Exten,Extension
Rvr,River
Airp,Airport
BC,British Columbia
1,one
Esp,Esplanade
0,zero
Cross,Xing
Estate,Estates
Harbr,Harbour
Landng,Landing
Villge,Village
Div,Diversion
Gr,Grove
Dist,District
Sprgs,Springs
Premier,1
Premiere,1
Str,Street
Sub,Subdivision
Bch,Beach
Brg,Bridge
Circt,Circuit
Cl,Close
Conc,Concession
Cpt,Captain
Crnrs,Corners
Cross,Crossing
Expy,Expressway
Fks,Forks
Fls,Falls
Ft,Fort
Grnds,Grounds
Hbr,Harbour
Hghlds,Highlands
Hgld,Highlands
Lmts,Limits
Orch,Orchard
Prt,Port
Ptway,Pathway
Pvt,Private
Rg,Range
Thick,Thicket
Tline,Townline
